Personal_ppto_vs_Real;BDD_Cnet;Pospago;Cambio_de_Plan;Terminales;Paq_Llamad_Ilim;Seguros;Mplay;CDF_FOX_HBO;Retenciones;Prepago;NPS
NAE;Id;linea_negocio;anio_mes;fecha_proceso;telefono;telefono;tipo_transaccion;tipo_transaccion;nro_ticket;linea_negocio;ticket_name
ID_SIN_COLAS;Fecha;num_telefonico;fecha_carga;fecha_factura;estado_abonado;estado_abonado;fecha;fecha;dia;telefono;fecha_creacion
CARGO;Fecha_act;account_num;telefono;linea_negocio;fecha_alta_abonado;fecha_alta_abonado;min;min;mes;numero_abonado;dia_creacion
JEFE;Fecha_fact_alb;fecha_alta;numero_abonado;segmento;fecha_baja_abonado;fecha_baja_abonado;nombre_de_paquete;nombre_de_paquete;anio;account_num;mes_creacion
ESPECIALISTA;Tipo;estado_abonado;numero_orden;sub_segmento;segmento;segmento;ejecutivo;ejecutivo;cod_usuario_creador;fecha_alta;anio_creacion
EJECUTIVO;Operación;cliente;segmento;telefono;subsegmento;subsegmento;nom_usuario;nom_usuario;created_by_group;estado_abonado;cod_usuario_creador
LOCAL;Tipo_duplicado;documento_cliente;sub_segmento;clasificacion;codigo_plan;codigo_plan;canal;canal;assign_to;cliente;usuario_creadori
ESTADO;Modelo;tipo_doc_cliente;estado_abonado;tipo_documento;descripcion__plan;descripcion__plan;oficina;oficina;assigned_to_group;documento_cliente;created_by_group
CONDICION;Fabricante;plan_codigo;documento_cliente;num_factura;tarifa_basica_plan;tarifa_basica_plan;codigo_distribuidor;codigo_distribuidor;usuario_asig;tipo_doc_cliente;assign_to
;Categoria;plandesc;provincia;num_factura_relacionada;slo_contratado;slo_contratado;nom_distribuidor;nom_distribuidor;estado;plan_codigo;assigned_to_group
;IMEI;localizacion;forma_pago;oficina;descripcion_slo;descripcion_slo;codigo_plaza;codigo_plaza;motivo_atencion;nombre_plan;locacion
;Teléfono;imei;plan_codigo;account_num;tarifa_slo;tarifa_slo;nom_plaza;nom_plaza;category_1;ciudad;direccalle
;ICC;equipo;descripcion_plan_actual;nombre_cliente;estado_slo;estado_slo;region;region;category_2;provincia;prov
;Nombre;iccid;categoria_plan_actual;identificacion_cliente;fecha_activacion_slo;fecha_activacion_slo;linea_negocio;linea_negocio;category_3;imei;prov1
;Tipo_Documento;sub_segmento;tarifa_basica_actual;modelo_terminal;usuario_activacion;fecha_desactivacion_slo;segmento;segmento;category_4;equipo;prov2
;NIF_CIF;segmento;tarifa_plan_actual_ov;imei;fecha_proceso;usuario_desactivacion;sub_segmento;sub_segmento;pronopro;icc;problem_area
;Segmento;fecha_proceso;usu_aplica_ov_plan_act;tipo_cargo;usuario_activacion_bono;canal_comercial_desactivacion;tiendas;tienda;numero_telefono;sub_segmento;access_id
;Firma_Digital;tarifa_basica;fecha_aplica_ov_plan_act;segmentacion_smarts;canal_comercial;tiempo_activado_minutos;ejecutivos;ejecutivos;name;segmento;estado
